X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
5,4,aug,sat,88.3,38.1,678.4,7.0,18.1,19,8.3,0.0,3.43
4,4,jan,thu,89.1,1.1,523.2,2.3,19.7,22,8.4,0.0,0.0
4,2,sep,wed,94.6,1.1,718.3,9.8,19.0,37,4.3,0.0,40.38
5,4,sep,fri,93.7,17.6,567.7,3.6,26.7,42,7.1,0.0,0.0
7,4,apr,sat,92.8,6.1,228.0,6.9,21.2,33,5.7,0.0,0.0
4,4,sep,wed,92.8,55.3,662.6,4.7,10.9,64,6.9,0.0,1.54
6,5,aug,thu,88.3,1.1,652.4,5.8,23.5,61,3.1,0.0,4.71
8,2,jul,fri,95.6,135.3,7.9,9.6,21.5,70,5.0,0.0,0.0
4,4,aug,sun,92.1,2.6,715.9,6.2,21.4,34,6.2,0.0,0.0
5,2,sep,mon,91.3,36.0,600.9,6.1,24.8,66,3.5,0.0,2.01
2,4,sep,wed,94.3,69.1,260.8,7.2,19.1,17,6.8,0.0,5.04
4,5,aug,thu,89.3,60.0,678.5,5.2,17.5,22,3.7,0.0,10.81
3,5,sep,sun,93.0,69.2,83.6,5.2,31.3,39,5.0,0.0,10.57
4,4,aug,sat,89.9,36.1,511.1,9.3,10.2,18,7.1,0.0,0.0
3,3,apr,tue,93.2,59.7,724.4,9.9,27.8,40,6.5,0.0,6.77
7,2,sep,fri,92.2,71.7,676.6,12.0,18.5,19,6.1,0.0,0.0
6,2,aug,thu,94.1,67.2,592.7,15.7,11.8,39,3.6,0.0,2.99
4,4,aug,sun,94.5,39.7,641.1,7.3,25.3,24,5.2,0.0,0.0
3,4,sep,tue,94.2,73.5,553.8,4.8,31.2,26,6.4,0.0,0.0
4,4,mar,mon,90.6,39.5,591.3,3.6,20.0,25,9.4,0.0,0.0
7,3,aug,sat,93.4,201.3,610.7,6.6,30.0,25,7.6,0.0,0.0
4,4,oct,fri,90.8,25.0,10.4,6.0,16.1,54,4.6,0.0,5.07
4,4,sep,mon,92.8,1.1,657.9,1.3,19.5,33,4.9,0.0,0.0
4,4,sep,sat,89.0,1.1,379.8,9.1,23.8,30,6.8,0.0,0.0
6,4,aug,sat,93.1,144.6,660.7,9.3,29.1,62,5.2,0.0,0.95
4,4,aug,sat,91.9,51.2,651.5,4.2,28.3,63,3.7,0.0,1.23
7,5,sep,mon,92.0,74.0,416.5,5.7,20.7,37,7.3,0.0,18.4
4,2,jul,sat,92.0,44.2,7.9,6.6,16.5,28,8.8,0.0,8.32
3,3,feb,sun,82.5,51.2,218.4,0.1,16.6,24,3.4,0.0,10.08
4,4,sep,sun,90.1,38.5,367.6,6.3,24.8,42,6.7,0.0,0.56
4,5,sep,sat,93.5,4.5,636.5,4.2,17.3,54,6.0,0.0,6.86
6,2,jan,sat,93.3,1.1,7.9,5.0,18.1,36,5.3,0.0,3.59
4,4,jun,tue,91.5,38.6,188.0,4.9,21.6,47,9.4,0.0,12.39
6,2,mar,sat,93.4,83.9,105.0,8.0,23.0,34,7.5,0.0,0.0
4,4,aug,sun,92.4,79.9,675.0,6.3,21.5,43,8.9,0.0,16.06
4,2,sep,sat,91.6,94.4,69.8,6.9,28.5,25,4.7,0.0,8.85
4,5,aug,tue,92.1,63.5,684.0,5.7,12.1,63,3.7,0.0,0.0
6,5,aug,wed,91.6,31.6,11.1,8.1,26.4,28,4.0,0.0,0.0
4,3,sep,fri,92.0,47.8,537.7,7.4,24.0,43,8.7,0.0,0.0
7,4,aug,thu,90.9,215.4,16.5,4.6,26.2,41,9.4,0.0,7.33
3,4,aug,sat,91.5,39.3,501.9,8.1,26.7,30,4.8,0.0,113.85
4,4,sep,fri,93.5,56.1,661.1,4.9,21.9,53,7.1,0.0,13.37
4,4,aug,fri,95.2,175.3,250.6,7.9,18.4,49,4.9,0.0,8.55
8,4,sep,thu,91.4,97.9,308.3,4.8,28.2,56,2.3,0.0,13.29
3,3,sep,sun,88.4,37.7,542.5,4.1,32.7,34,8.9,0.0,0.0
4,4,oct,thu,94.0,1.1,662.3,8.8,24.5,15,6.7,0.0,0.0
4,4,aug,sat,92.7,1.1,7.9,0.3,24.9,46,4.2,0.0,2.72
4,4,sep,sun,94.6,77.4,7.9,5.7,22.1,63,4.7,0.0,246.45
3,2,feb,sat,91.4,1.1,514.9,7.1,18.5,61,6.3,0.0,2.14
8,4,sep,mon,94.8,68.2,699.4,4.1,19.8,46,4.1,0.0,0.25
2,4,aug,mon,92.8,78.8,41.0,3.9,21.9,35,4.4,0.0,7.02
5,5,aug,thu,92.4,82.1,185.3,5.7,33.2,29,2.9,0.0,0.0
4,5,mar,mon,94.5,178.0,504.6,7.6,26.7,39,3.8,0.0,2.99
9,4,oct,thu,94.5,87.5,536.6,2.9,24.1,23,3.3,0.0,0.0
4,3,sep,sun,93.5,1.1,7.9,7.3,18.5,60,5.0,0.0,299.65
3,3,sep,wed,93.7,50.3,390.2,4.6,15.7,68,6.4,0.0,9.95
5,4,sep,fri,92.5,51.9,651.6,13.7,15.8,17,3.9,0.0,6.17
8,4,sep,sat,85.3,62.1,57.2,7.2,11.3,32,4.1,0.0,0.0
4,4,aug,thu,89.4,32.7,460.0,4.6,28.7,42,5.0,0.0,12.97
8,4,feb,thu,91.3,43.7,146.7,6.7,20.0,77,5.4,0.0,0.76
4,4,apr,tue,91.9,130.3,723.2,7.9,21.0,30,9.4,0.0,9.54
1,4,sep,wed,88.2,1.1,603.3,5.2,13.9,24,2.6,0.0,14.18
4,4,aug,thu,91.1,77.1,638.9,15.6,14.7,49,6.8,0.0,2.34
4,4,aug,sun,89.1,32.1,698.0,4.2,24.0,78,6.7,0.0,0.0
4,2,feb,tue,93.8,100.9,7.9,5.2,13.9,64,5.8,0.0,1.52
4,4,dec,wed,90.4,22.2,101.8,5.3,24.2,33,4.7,0.0,0.0
4,2,jun,wed,93.7,1.1,769.2,0.0,24.6,38,7.5,0.0,10.46
8,4,jul,fri,92.3,94.3,680.3,8.7,15.2,43,4.0,0.0,0.0
2,5,aug,sat,91.1,46.4,7.9,5.5,26.6,29,3.8,0.0,0.03
8,5,aug,tue,95.2,53.0,7.9,6.2,30.0,22,4.0,0.0,0.04
4,4,sep,fri,89.5,1.1,447.9,5.2,14.9,31,6.1,0.0,10.77
4,4,aug,sat,93.0,105.2,7.9,6.6,24.8,28,7.0,0.0,0.0
3,2,mar,tue,93.3,71.1,576.0,10.1,24.5,49,4.7,0.0,0.0
7,4,aug,sun,90.9,35.9,7.9,14.5,13.9,46,4.8,0.0,1.29
5,4,sep,tue,92.5,98.3,697.9,5.5,9.1,93,9.4,0.0,15.26
2,4,oct,fri,84.2,32.5,7.9,5.5,25.1,45,9.2,0.0,0.0
5,4,sep,tue,91.3,1.1,580.3,5.7,21.2,32,5.0,0.0,0.0
7,5,sep,tue,88.2,56.3,550.8,7.4,20.2,20,6.7,0.0,16.05
4,4,aug,mon,93.6,31.8,582.4,7.7,28.6,48,2.3,0.0,0.0
4,5,aug,thu,91.5,99.6,705.3,7.8,21.9,33,8.7,0.0,5.0
3,5,jun,sat,92.9,1.1,54.1,7.8,19.0,29,2.7,0.0,4.46
2,4,sep,wed,90.4,151.7,761.8,9.4,8.6,28,4.4,0.0,6.75
5,4,aug,thu,92.3,104.7,522.0,8.1,13.1,31,5.0,0.0,0.0
4,4,sep,thu,91.9,116.1,665.3,5.3,26.5,29,6.6,0.0,74.56
4,5,aug,sat,90.7,1.1,541.0,12.1,4.0,24,9.4,0.0,6.73
4,4,sep,sun,92.0,22.7,189.1,9.3,26.5,51,6.9,0.0,1.71
4,4,feb,thu,90.1,29.7,583.1,1.1,16.4,57,2.6,0.0,2.8
4,4,jun,wed,91.4,1.1,11.9,6.7,28.7,26,9.4,0.0,0.0
4,4,sep,thu,93.4,57.4,570.1,6.3,26.7,34,5.9,0.0,8.52
5,3,sep,sun,94.0,68.7,525.8,15.3,28.7,15,3.6,0.0,0.0
4,4,jul,wed,89.3,169.1,679.5,10.3,18.5,51,4.9,0.0,2.67
8,6,aug,sun,83.9,76.4,570.0,5.3,23.6,78,3.4,0.0,0.0
7,4,mar,tue,90.5,1.1,640.6,5.1,9.3,43,6.1,0.0,7.64
6,4,sep,tue,93.3,1.1,238.7,4.4,25.1,60,4.8,0.0,16.21
4,4,may,sun,80.7,1.1,434.8,5.6,14.1,34,7.6,0.0,10.68
5,3,mar,mon,93.1,175.4,81.5,6.0,17.3,29,3.2,0.0,0.0
5,3,aug,mon,93.7,1.1,142.8,5.7,24.6,45,4.3,0.0,6.91
3,2,may,thu,89.6,57.9,290.2,2.4,24.8,18,4.8,0.0,11.02
3,5,aug,sat,91.7,56.2,528.1,6.4,18.7,47,6.5,0.0,0.0
7,6,oct,tue,93.5,50.9,178.3,3.1,21.5,46,4.8,0.0,4.07
2,2,sep,thu,92.0,46.8,683.9,10.7,5.5,34,7.7,0.0,62.7
4,5,mar,sun,92.2,76.6,16.0,6.6,26.3,46,3.6,0.0,0.0
5,3,sep,thu,91.2,86.8,573.0,2.2,15.8,23,6.3,0.0,3.19
5,5,sep,sun,91.6,80.5,300.4,8.3,32.0,27,6.7,0.0,0.0
4,4,sep,sat,90.3,1.1,616.6,7.7,23.9,56,4.8,0.0,11.07
4,5,sep,sun,85.1,96.6,375.3,4.9,29.4,30,4.9,0.0,9.74
4,4,jun,sun,90.3,25.9,569.1,8.4,24.8,45,7.3,0.0,1.99
4,4,jun,wed,93.0,66.4,714.3,7.9,22.1,34,7.5,0.0,0.1
1,5,sep,sat,92.7,50.1,162.8,7.6,25.7,21,9.4,0.0,0.0
4,4,mar,tue,92.5,140.7,387.7,7.2,19.3,47,3.8,0.0,0.0
8,4,aug,sat,91.8,1.1,7.9,6.3,4.2,41,3.8,0.0,0.0
4,5,sep,sun,90.4,5.9,769.5,8.7,17.3,46,6.9,0.0,12.4
3,4,aug,sat,92.0,77.4,208.0,9.1,18.8,22,6.4,0.0,0.0
4,5,apr,sat,95.2,30.1,585.0,7.7,30.5,16,6.6,0.0,0.0
8,4,oct,sun,96.0,104.7,437.8,7.4,24.5,34,5.1,0.0,11.47
7,4,aug,fri,89.7,21.6,7.9,9.4,20.1,42,6.5,0.0,3.53
4,7,nov,thu,92.9,1.1,614.1,5.0,29.2,26,6.6,0.0,3.58
9,5,aug,mon,37.7,34.8,272.4,2.2,25.5,40,7.0,0.0,1.77
4,4,mar,tue,91.1,1.1,7.9,5.4,26.1,21,7.4,0.0,10.44
3,4,sep,fri,90.2,21.5,729.2,2.5,15.2,54,4.6,0.0,0.0
9,4,jul,thu,91.9,92.0,578.1,5.4,29.3,34,6.9,0.0,3.38
8,5,sep,fri,94.3,99.4,554.8,8.3,17.4,17,6.7,0.0,0.0
8,4,mar,mon,81.7,36.3,681.6,0.0,13.5,44,5.6,0.0,14.51
4,5,sep,mon,92.3,38.1,720.3,4.0,19.5,54,5.2,0.0,2.6
3,4,sep,tue,90.9,5.1,232.0,11.2,21.5,17,5.7,0.0,0.0
8,4,mar,wed,90.8,1.1,7.9,5.1,18.3,45,6.7,0.0,5.07
8,4,aug,sun,91.5,89.2,696.2,7.9,27.0,50,8.0,0.0,1.35
4,3,mar,tue,92.9,27.1,7.9,4.4,24.2,35,6.3,0.0,0.0
4,6,sep,wed,93.2,63.3,625.7,7.2,17.0,35,6.2,0.0,10.59
4,6,sep,sun,92.8,72.0,618.3,0.0,17.3,78,1.6,0.0,0.0
9,5,sep,sat,84.9,1.1,555.0,2.5,11.4,37,8.9,0.0,0.0
2,6,sep,sat,92.1,1.1,763.9,7.4,18.5,21,6.2,0.0,16.16
7,5,mar,sat,91.6,44.0,7.9,4.1,24.1,19,9.4,0.0,13.2
2,5,aug,wed,90.9,1.1,214.8,11.8,27.3,37,7.5,0.0,0.44
2,2,mar,tue,91.0,28.3,559.0,4.3,27.9,36,6.5,0.0,0.0
4,5,sep,sun,92.2,123.7,44.8,8.4,19.7,43,9.4,0.0,13.08
7,5,mar,sun,92.0,1.1,653.2,0.1,16.0,34,4.0,0.0,0.0
3,4,jul,sun,90.8,72.0,592.6,0.4,23.4,46,6.7,0.0,12.11
5,4,sep,tue,91.4,40.8,531.1,6.9,12.2,29,1.5,0.0,0.0
4,3,aug,sun,96.2,98.5,780.3,10.7,25.2,24,6.6,0.0,0.0
4,2,aug,wed,93.8,75.6,571.1,5.8,27.8,49,5.7,0.0,7.01
4,5,sep,wed,95.1,166.4,425.4,13.7,17.2,28,6.9,0.0,0.0
3,3,sep,wed,93.4,50.1,202.7,5.1,23.1,33,2.0,0.0,0.0
5,4,jul,sun,95.9,1.1,697.8,7.1,27.1,43,5.0,0.0,19.22
2,5,aug,fri,92.3,69.8,613.0,13.0,21.9,44,7.4,0.0,8.3
4,6,sep,sun,91.6,1.1,515.9,3.5,19.1,39,6.3,0.0,5.73
6,5,may,sat,94.1,1.1,486.9,6.5,24.7,37,6.2,0.0,1.61
7,4,oct,tue,93.2,154.6,676.4,18.7,15.8,15,6.0,0.0,7.68
9,4,sep,sun,91.3,84.8,594.6,20.3,27.5,42,4.5,0.0,14.15
7,4,jul,tue,94.3,88.4,352.9,7.2,21.0,23,3.4,0.0,0.0
8,4,mar,tue,92.3,1.1,621.5,5.4,19.7,47,5.5,0.0,1.75
4,4,sep,sun,90.6,54.3,7.9,7.0,24.7,31,6.1,0.0,4.91
3,4,aug,mon,91.2,93.6,636.4,6.6,19.9,26,6.4,0.0,6.62
6,4,jul,sun,85.2,39.7,588.5,6.9,25.2,33,6.1,0.0,14.97
5,2,aug,thu,93.0,68.2,486.8,6.6,21.9,17,8.2,0.0,0.0
4,5,sep,sun,93.9,68.8,264.5,8.5,19.5,36,4.7,0.0,6.93
4,4,mar,sat,93.4,1.1,241.8,5.7,21.0,20,6.5,0.0,2.57
9,4,aug,fri,88.7,81.5,562.0,3.1,24.6,15,7.3,0.0,1.13
7,2,sep,thu,88.9,29.2,558.5,16.9,16.6,38,6.4,0.0,0.0
4,6,sep,sat,92.6,77.3,287.7,7.2,27.4,39,4.3,0.0,2.23
4,8,aug,wed,96.1,15.9,7.9,7.0,26.4,27,7.1,0.0,4.13
5,4,sep,sat,85.1,52.0,626.4,6.9,19.8,62,7.4,0.0,0.0
4,4,sep,wed,94.3,55.1,548.9,5.4,29.1,38,4.1,0.0,0.0
3,4,aug,thu,92.6,1.1,227.1,10.5,18.5,40,6.1,0.0,0.0
1,4,aug,sat,93.7,177.6,7.9,10.9,22.2,26,3.5,0.0,0.0
9,3,sep,tue,85.2,4.2,366.8,6.9,22.0,34,5.6,0.0,3.47
3,5,mar,mon,92.5,7.0,508.2,5.6,23.8,35,8.2,0.0,6.55
4,4,aug,thu,92.5,75.2,160.2,0.0,18.2,46,9.4,0.0,4.1
4,6,aug,fri,91.5,77.9,53.0,14.3,20.9,41,5.5,0.0,3.23
9,2,aug,sat,92.4,91.0,550.3,4.7,31.3,55,7.0,0.0,6.38
7,4,sep,sun,85.8,31.8,580.0,10.1,23.8,51,3.5,0.0,7.02
4,5,jun,mon,91.2,1.1,7.9,6.9,20.7,50,5.5,0.0,0.0
4,4,sep,sat,94.3,97.1,685.0,7.2,29.2,37,3.8,0.0,7.48
4,3,aug,sun,86.6,60.9,242.1,14.1,13.2,38,6.4,0.0,12.35
4,5,aug,sun,93.7,94.6,726.8,6.9,19.4,31,3.9,0.0,10.07
4,4,aug,fri,93.6,1.1,351.0,4.1,10.8,26,2.5,0.0,196.27
2,4,mar,sun,92.4,1.1,299.2,8.6,23.3,25,9.4,0.0,6.13
3,4,dec,sun,90.4,144.9,263.5,8.6,23.1,33,6.5,0.0,0.11
4,8,mar,wed,93.8,98.8,649.1,7.1,20.0,27,7.4,0.0,8.61
4,5,aug,sun,93.9,7.1,46.2,9.1,19.9,69,5.5,0.0,0.0
4,5,mar,fri,92.0,150.4,602.9,6.2,19.9,45,6.4,0.0,0.0
4,5,sep,sat,92.5,65.0,424.3,7.7,24.0,27,6.1,0.0,5.47
3,5,feb,mon,85.3,1.1,597.2,5.0,18.8,50,7.3,0.7,5.38
4,6,sep,sun,91.1,9.8,387.0,4.2,16.2,59,5.0,0.0,14.01
5,5,sep,fri,92.8,96.7,417.6,7.6,27.3,27,3.6,0.0,17.49
5,4,sep,wed,86.7,30.0,499.4,1.3,14.8,47,5.7,0.0,11.2
9,4,sep,fri,93.6,69.1,696.6,5.7,26.0,42,4.0,0.0,6.64
5,4,aug,sun,93.0,132.4,466.8,10.1,27.1,23,3.5,0.0,0.0
3,3,aug,thu,91.8,1.1,523.4,12.6,29.6,28,9.4,0.0,0.0
4,5,jul,sun,91.5,115.3,742.6,1.3,21.8,53,4.1,0.0,8.44
4,4,aug,thu,92.1,1.1,154.0,5.8,20.1,36,4.7,0.0,2.61
5,4,aug,mon,95.3,1.1,7.9,0.1,30.6,29,2.3,0.0,0.0
4,2,sep,sat,89.3,63.3,594.5,9.5,29.7,37,4.5,0.0,0.0
4,5,jul,tue,95.0,82.4,7.9,6.4,17.1,57,4.8,0.0,0.97
4,5,mar,wed,71.8,210.2,714.7,2.1,18.7,37,7.1,0.0,12.49
4,4,aug,sat,91.7,44.5,621.3,7.6,15.6,70,5.3,0.0,10.86
3,2,aug,fri,67.0,38.5,7.9,1.5,16.4,39,6.7,0.0,8.93
9,4,aug,sun,94.4,1.3,57.2,2.4,21.5,36,5.5,0.0,0.0
3,4,jul,sat,91.5,1.1,509.3,2.6,23.0,43,5.4,0.0,12.78
5,4,oct,thu,93.1,48.5,347.4,0.0,18.2,25,4.9,0.0,9.28
8,4,aug,sun,84.8,47.2,626.8,8.4,20.4,47,7.2,0.0,8.97
9,3,mar,tue,94.1,93.9,766.6,4.4,31.9,31,4.8,0.0,9.52
2,4,sep,fri,92.0,76.4,614.9,8.3,19.9,24,6.6,0.0,10.72
5,4,mar,sat,92.3,15.8,223.7,10.3,21.7,26,4.1,0.0,0.0
4,4,jul,sat,92.2,126.0,591.8,7.4,28.4,35,7.2,0.0,0.0
2,5,aug,thu,93.8,45.6,579.9,3.4,25.1,74,3.7,0.0,15.09
5,4,oct,tue,90.3,1.1,7.9,11.7,22.1,27,5.0,0.0,2.61
4,2,aug,wed,87.0,37.4,7.9,5.8,18.8,39,6.0,0.0,5.47
4,4,aug,sat,91.2,9.9,53.1,9.1,17.3,41,5.8,0.0,0.0
8,4,oct,tue,90.5,1.1,76.2,4.1,16.5,46,4.7,0.0,0.86
4,2,sep,mon,94.1,1.1,769.4,5.7,16.1,26,4.1,0.0,10.58
4,5,sep,wed,94.0,220.9,328.4,2.5,21.3,24,9.0,0.0,0.0
2,4,aug,sun,92.2,1.1,337.3,8.4,24.3,35,5.8,0.0,34.84
4,4,jul,sun,89.9,14.9,286.2,8.4,15.5,40,4.5,0.0,5.23
8,5,aug,sat,93.3,88.1,592.4,6.2,23.0,48,6.6,0.0,0.0
4,5,sep,sat,92.2,54.6,12.4,2.5,23.2,31,2.9,0.0,8.9
3,4,sep,sun,91.9,63.2,54.0,2.0,23.9,36,5.5,0.0,0.0
4,5,feb,tue,90.5,196.7,579.6,9.7,15.9,16,7.4,0.0,0.0
4,5,aug,tue,93.0,28.3,377.9,8.3,22.5,38,9.4,0.0,7.68
6,5,aug,sat,88.4,108.9,111.2,7.2,21.9,21,4.9,0.0,0.0
6,5,feb,thu,94.6,22.3,50.4,6.9,22.6,47,4.1,0.0,0.0
7,4,aug,sun,92.5,51.5,650.1,9.1,16.9,29,4.5,0.0,0.0
4,3,sep,mon,90.1,10.3,512.5,6.7,23.0,74,4.3,0.0,0.0
8,4,mar,wed,92.1,61.1,474.8,6.7,17.4,46,5.9,0.0,5.14
6,4,sep,sat,91.1,1.1,7.9,6.5,28.6,46,6.8,0.0,1.51
4,3,jul,sun,95.1,17.6,577.8,7.2,27.0,31,5.0,0.0,0.0
4,4,aug,thu,93.5,1.1,574.4,4.0,20.4,34,6.0,0.0,0.0
2,4,sep,sun,92.8,53.7,656.1,8.0,20.2,38,9.4,0.0,12.62
2,4,aug,mon,90.1,99.0,658.7,7.1,19.7,57,4.2,0.0,0.0
6,5,aug,fri,89.3,1.1,459.2,6.7,24.9,39,9.1,0.0,5.22
5,5,nov,fri,82.8,25.9,291.3,1.2,19.8,53,4.1,0.0,9.26
6,5,sep,sun,92.7,123.7,672.0,7.2,23.4,28,5.7,0.0,0.0
4,4,sep,sun,92.5,45.7,727.0,4.9,24.9,67,7.3,0.0,13.05
7,4,aug,sun,91.0,76.1,52.4,0.8,21.5,83,6.3,0.0,8.74
4,4,aug,sat,91.6,36.5,565.0,1.6,19.5,31,7.0,0.0,1.9
4,4,aug,fri,91.9,75.9,686.0,5.8,25.4,41,3.4,0.0,0.66
4,6,aug,wed,91.4,1.1,561.5,5.9,20.4,36,3.1,0.0,0.0
4,4,mar,sat,91.9,56.4,714.8,9.8,5.2,32,7.1,0.0,4.36
4,4,feb,fri,92.9,48.0,488.5,7.8,23.2,39,6.8,0.0,5.49
2,4,sep,sat,85.1,39.1,326.5,5.6,19.9,31,7.1,0.0,16.02
4,4,aug,wed,95.2,161.8,574.1,8.1,22.1,32,1.7,0.0,0.0
8,5,jun,fri,80.5,40.4,64.5,8.3,15.5,26,4.7,0.0,5.43
4,3,oct,tue,93.0,162.9,542.2,11.4,16.4,24,5.3,0.0,0.0
9,5,aug,mon,93.7,6.4,494.2,6.5,21.0,27,6.2,0.0,0.0
4,3,aug,thu,93.8,36.8,560.0,4.1,20.2,23,7.0,0.0,3.19
4,5,jun,fri,92.1,1.1,26.8,6.7,21.2,43,6.6,0.0,5.04
4,4,aug,mon,94.1,106.4,219.9,8.3,2.7,28,4.8,0.0,43.26
6,5,jul,sun,91.7,66.9,304.3,9.1,18.5,46,6.8,0.0,1.97
3,6,aug,thu,94.3,157.4,192.2,13.5,22.9,22,6.3,0.0,0.0
4,2,aug,thu,83.8,35.1,517.0,5.5,20.4,36,6.4,0.0,0.0
8,4,mar,sun,89.7,1.1,580.6,0.0,9.0,65,9.4,0.0,15.52
5,5,aug,thu,91.1,105.0,530.6,8.4,17.5,46,9.4,0.0,0.0
4,4,aug,sat,89.8,65.5,231.7,6.0,21.4,82,6.1,0.0,3.5
4,4,sep,sat,93.1,29.2,587.2,6.9,27.3,26,3.6,0.0,7.12
4,4,jun,sat,92.0,10.7,601.8,13.3,10.4,44,4.7,0.0,8.01
8,4,aug,sat,91.5,54.3,326.6,2.1,19.4,50,4.8,0.0,0.0
3,4,mar,fri,91.6,54.4,551.4,10.8,23.9,29,4.2,0.0,4.83
4,4,sep,sun,93.5,83.2,587.4,9.9,30.8,34,4.1,0.0,4.54
9,4,jun,fri,93.0,73.3,406.1,11.4,26.5,27,3.2,0.0,7.82
4,4,aug,sun,92.2,49.3,527.1,6.4,19.8,28,8.0,0.0,13.41
4,5,sep,sun,92.4,80.4,202.7,7.6,25.2,26,7.4,0.0,0.33
6,2,sep,mon,91.2,1.1,648.3,0.0,20.6,28,4.7,0.0,13.58
4,4,mar,sun,89.1,1.1,768.5,8.0,20.4,47,5.6,0.0,11.92
4,4,sep,sun,93.0,116.7,126.5,6.0,25.1,43,3.8,0.0,0.0
3,4,sep,sun,95.0,47.8,20.4,10.9,26.0,28,3.9,0.0,0.0
5,5,aug,thu,89.5,23.5,612.2,3.8,16.2,33,4.9,0.0,0.99
6,2,sep,sat,92.9,45.9,167.5,0.4,17.5,44,5.1,0.0,0.0
4,4,aug,wed,89.8,43.8,7.9,8.6,24.8,35,4.7,0.0,0.0
4,4,sep,sun,95.0,121.1,283.8,6.7,14.7,24,6.0,0.0,0.0
5,4,jul,sun,92.8,35.9,7.9,6.5,16.4,50,6.1,0.0,2.82
4,2,aug,tue,92.4,92.3,220.2,0.0,28.8,29,7.0,0.0,7.71
4,4,jul,fri,90.1,1.1,624.7,0.0,15.3,36,6.3,0.0,15.77
7,4,aug,thu,91.1,1.1,504.0,6.9,22.5,56,7.6,0.0,0.0
5,4,sep,fri,93.7,15.2,644.2,6.2,14.8,25,7.3,0.0,6.21
4,6,sep,tue,94.7,78.1,779.5,7.9,33.3,33,3.6,0.0,16.35
7,5,mar,fri,93.1,73.9,644.4,8.5,17.9,24,2.4,0.0,7.3
4,4,aug,mon,94.2,8.9,7.9,6.4,25.3,24,4.4,0.0,9.35
5,6,sep,mon,92.0,41.0,760.4,6.4,29.0,25,4.3,0.0,0.0
9,5,sep,sun,90.3,51.2,598.2,8.8,17.3,24,4.7,0.0,0.36
5,4,sep,mon,90.8,12.7,246.9,5.2,30.4,78,5.4,0.0,0.0
4,4,sep,mon,92.2,50.6,404.3,4.7,30.7,27,2.2,0.0,0.0
7,4,jun,wed,91.4,28.4,349.0,1.4,25.0,51,5.7,0.0,0.0
9,4,mar,thu,94.3,42.3,476.8,7.8,18.2,27,8.6,0.0,0.0
3,4,mar,tue,91.7,143.5,388.7,7.1,19.8,15,6.7,0.0,13.03
5,4,sep,wed,91.7,105.2,66.2,7.3,24.5,38,5.3,0.0,0.0
4,5,sep,tue,91.1,88.0,623.7,16.5,26.1,31,3.9,0.0,0.0
